Id;Designator;Footprint;Quantity;Designation;Supplier and ref;;;;;
1;AE1;ANT-SMD_L3.2-W1.6;1;2450AT18A100E;;;;;;
2;C1, C10;C0201;2;2.2uF;;;;;;
3;C2;C1206;1;47uF;;;;;;
4;C3;C0603;1;2.2uF;;;;;;
5;C4, C19;C0402;2;1uF;;;;;;
6;C5;C0201;1;2.0pF;;;;;;
7;C6, C14, C26, C28;C0603;5;100nF;C28;;100nF;0.0000001;0.1;uF
;C15;C0201;;100nF;;GRM033R61C104KE14;;;;
8;C7, C17, C18, C20, C22, C27;C0805;6;10uF;C27;GRM21BZ71C106KE15L;;;;
9;C8;C0201;1;1.5pF;;;;;;
10;C9;C0402;1;10nF;;;;;;
11;C11;C0201;1;2.2pF;;;10000pF;0.00000001;10;nF
12;C12;C0201;1;1.0pF;;;;;;
13;C13;C0201;1;0.3pF;;;;;;
14;C16;C0603;1;10uF;;;0.1uF;0.0000001;100;nF
15;CN1;CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN;1;SM04B-SRSS-TB;;;;;;
16;D1, D2;SMA_L4.3-W2.6-LS5.2-RD;2;SS14_C83852;;;;;;
17;J1;USB-C_SMD-TYPE-C-31-M-12_1;1;TYPE-C-31-M-12;;;;Amazon;;
18;J3;SAMTEC_FTSH-105-01-L-DV-K;1;FTSH-105-01-L-DV-K;;;;Mouser;;
19;L1;L0805;1;10uh;4.3nH???;;;Mouser;;
20;L2, L5;L0201;2;2.7nH;;LQP03TN2N7B02D;;;;
21;L3;L0201;1;3.9nH;;LQP03TN3N9B02D;;;;
22;L4;L0402;1;CBG100505U121T;;;;;;
23;L6, L8;L0201;2;3.5nH;;LQP03TN3N5B02D;;;;
24;L7;L0603;1;4.7uH;;;;;;
25;L9, L10;L0603;2;2.2uH;;;;;;
26;LED1;LED-SMD_L1.0-W0.6-RD_SML-P12YTT86RR;1;SML-P12MTT86R;;;;;;
27;R1, R2;R0402;2;5.1k;;;;;;
28;R3;R1206;1;100k;;;;;;
29;R4;R0402;1;3.3M;Should be 1.21M;;;Need to change on board;;
30;R5, R7;R0402;2;1M;;;;;;
31;R6;R0402;1;3.01M;;;;;;
32;R8;R0402;1;10k;;;;;;
33;R9;R0603;1;47k;;;;;;
34;R10;R0603;1;150k;;;;;;
35;R11;DFN-6_L1.1-W0.7-P0.40-BL;1;FM8625H;;;;;;
36;R12, R13;R0402;2;4.7k;;;;;;
37;R14;R0402;1;560;;;;;;
38;RF1;ANT-SMD_ECT818000500;1;ECT818000500;;;;;;
39;U2;QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias;1;nPM1300-QEXX;;;;;;
40;U3;TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL;1;SPV1040T;;;;;;
41;U4, U5;CONN-TH_S2B-PH-K-S-GW;2;S2B-PH-K-S-GW;;;;;;
42;U6;QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm_ThermalVias;1;nRF54L15-QFXX;;;;;;
43;X1;CRYSTAL-SMD_4P-L2.0-W1.6-BL;1;XL7EL89CKI-111YLC-32M;;;;;;
