Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC Part,Manufacturer,LCSC Number,Size,LCSC
AE1,1,2450AT18A100E,ANT-SMD_L3.2-W1.6,,2450AT18A100E,,smt,"Mini 2.45 GHz Antenna, Johanson Technology",C89334,JOHANSON(约翰逊),,,
"C1, C10",2,2.2uF,C0201,,GRM033R61A225KE47D,,smt,,C335106,muRata(村田),,,
C11,1,2.2pF,C0201,,GJM0335C1E2R2WB01D,,smt,,C710732,muRata(村田),,,
C12,1,1.0pF,C0201,,GJM0335C1E1R0WB01D,,smt,,C185624,muRata(村田),,,
C13,1,0.3pF,C0201,,GJM0335C1ER30WB01D,,smt,,C161289,muRata(村田),,,
"C14, C15, C26, C28, C6",5,100nF,C0603,,CC0603KRX7R9BB104,,smt,100nF (104) ±10% 50V,C14663,YAGEO(国巨),,,
C16,1,10uF,C0603,,CC0603MRX5R8BB106,,smt,,C596327,YAGEO(国巨),,,
"C17, C18, C20, C22, C27, C7",6,10uF,C0805,,CL21A106KAYNNNE,,smt,10uF (106) ±10% 25V,C15850,SAMSUNG(三星),,,
"C19, C4",2,1uF,C0402,,CL05A105KO5NNNC,,smt,1uF (105) ±10% 16V,C29266,SAMSUNG(三星),,,
C2,1,47uF,C1206,,CL31A476MPHNNNE,,smt,,C96123,SAMSUNG(三星),,,
C3,1,2.2uF,C0603,,CL10A225KB8NNNC,,smt,,C913904,SAMSUNG(三星),,,
C5,1,2.0pF,C0201,,GJM0335C1E2R0WB01D,,smt,,C668326,muRata(村田),,,
C8,1,1.5pF,C0201,,GJM0335C1E1R5WB01D,,smt,,C435397,muRata(村田),,,
C9,1,10nF,C0402,,GCM155R71H103KA55D,,smt,,C91601,muRata(村田),,,
CN1,1,SM04B-SRSS-TB,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,,SM04B-SRSS-TB(LF)(SN),,smt,,C160404,JST,,,
"D1, D2",2,SS14_C83852,SMA_L4.3-W2.6-LS5.2-RD,,SS14,,smt,,C83852,onsemi(安森美),,,
J3,1,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,,,smt,USB Power-Only 6P Type-C Receptacle connector,,,,,
L1,1,10uh,L0805,,SDFL2012S100KTF,,smt,10uH ±10%,C1046,Sunlord(顺络),,,
"L10, L9",2,2.2uH,L0603,,LSCNB1608HKT2R2MD,,tht,,C6079477,TAIYO YUDEN(太诱),,,
"L2, L5",2,2.7nH,L0201,,LQP03HQ2N7B02D,,tht,,C7216765,muRata(村田),,,
L3,1,3.9nH,L0201,,LQP03HQ3N9B02D,,tht,,C337939,muRata(村田),,,
L4,1,CBG100505U121T,L0402,,CBG100505U121T,,smt,,C92616,FH(风华),,,
"L6, L8",2,3.5nH,L0201,,LQP03HQ3N5B02D,,tht,,C3911055,muRata(村田),,,
L7,1,4.7uH,L0603,,LQM18PH4R7MFRL,,tht,muRata LQM18PH4R7MFRL,,,C1858257,0603,
LED1,1,SML-P12MTT86R,LED-SMD_L1.0-W0.6-RD_SML-P12YTT86RR,,SML-P12MTT86R,,tht,,C510304,ROHM(罗姆),,,
"R1, R2",2,5.1k,R0402,,,,smt,"Resistor, Generic US Symbol, Alternate KiCad Library",,,,,
R10,1,150k,R0603,,FRC0603F1503TS,,smt,,C2906993,FOJAN(富捷),,,
R11,1,FM8625H,DFN-6_L1.1-W0.7-P0.40-BL,,FM8625H,,smt,,C2857391,FM(富满),,,
"R13, R14",2,4.7k,R_0402_1005Metric,,,,smt,Resistor,,,,,C105871
R15,1,560,R_0402_1005Metric,,,,smt,Resistor,,,,,C2909370
R3,1,100k,R1206,,1206W4F1003T5E,,smt,100KΩ (1003) ±1%,C17900,UNI-ROYAL(厚声),,,
R4,1,3.3M,R_0402_1005Metric,,,,smt,Resistor,,,,,C54531078
"R5, R7",2,1M,R_0402_1005Metric,,,,smt,Resistor,,,,,C93949
R6,1,3.01M,R_0402_1005Metric,,,,smt,Resistor,,,,,C3013167
R8,1,10k,R_0402_1005Metric,,,,smt,Resistor,,,,,C190095
R9,1,47k,R0603,,FRC0603F4702TS,,smt,,C2907042,FOJAN(富捷),,,
RF1,1,ECT818000500,ANT-SMD_ECT818000500,,ECT818000500,,smt,,C437254,ECT(电连),,,
U1,1,nRF54L15-QDXX,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm_ThermalVias,,,,smt,nRF54L Dual Core Multiprotocol BLE SoC,,,,,
U2,1,nPM1300-QEXX,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,,,,smt,"PMIC, LED Driver, Battery Charger, QFN-32",,,,,
U3,1,SPV1040T,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL,,SPV1040T,,smt,,C2969792,ST(意法半导体),,,
"U4, U5",2,S2B-PH-K-S-GW,CONN-TH_S2B-PH-K-S-GW,,S2B-PH-K-S-GW,,tht,,C157932,JST,,,
X1,1,XL7EL89CKI-111YLC-32M,CRYSTAL-SMD_4P-L2.0-W1.6-BL,,XL7EL89CKI-111YLC-32M,,smt,,C2965582,YXC(扬兴晶振),,,
