pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
135.02,-89.26,0.0,top,AE1,2450AT18A100E,,ANT-SMD_L3.2-W1.6,2450AT18A100E,smt
122.71,-82.83,90.0,top,C1,GRM033R61A225KE47D,,C0201,2.2uF,smt
119.66,-82.17,0.0,top,C10,GRM033R61A225KE47D,,C0201,2.2uF,smt
123.46,-82.87,90.0,top,C11,GJM0335C1E2R2WB01D,,C0201,2.2pF,smt
131.02,-87.13,0.0,top,C12,GJM0335C1E1R0WB01D,,C0201,1.0pF,smt
128.57,-88.31,-90.0,top,C13,GJM0335C1ER30WB01D,,C0201,0.3pF,smt
104.01,-78.16,-90.0,top,C14,CC0603KRX7R9BB104,,C0603,100nF,smt
129.27,-85.22,-90.0,top,C15,CC0603KRX7R9BB104,,C0603,100nF,smt
97.75,-90.55,-90.0,top,C16,CC0603MRX5R8BB106,,C0603,10uF,smt
104.75,-82.47,-90.0,top,C17,CL21A106KAYNNNE,,C0805,10uF,smt
100.63,-85.23,90.0,top,C18,CL21A106KAYNNNE,,C0805,10uF,smt
111.37,-84.94,-90.0,top,C19,CL05A105KO5NNNC,,C0402,1uF,smt
126.92,-77.76,90.0,top,C2,CL31A476MPHNNNE,,C1206,47uF,smt
101.62,-90.35,-90.0,top,C20,CL21A106KAYNNNE,,C0805,10uF,smt
99.48,-90.31,-90.0,top,C22,CL21A106KAYNNNE,,C0805,10uF,smt
104.1,-92.83,0.0,top,C26,CC0603KRX7R9BB104,,C0603,100nF,smt
116.33,-73.96,90.0,top,C27,CL21A106KAYNNNE,,C0805,10uF,smt
121.78,-70.98,90.0,top,C28,CC0603KRX7R9BB104,,C0603,100nF,smt
113.19,-89.56,90.0,top,C3,CL10A225KB8NNNC,,C0603,2.2uF,smt
111.88,-87.14,180.0,top,C4,CL05A105KO5NNNC,,C0402,1uF,smt
126.94,-88.35,90.0,top,C5,GJM0335C1E2R0WB01D,,C0201,2.0pF,smt
114.72,-89.86,90.0,top,C6,CC0603KRX7R9BB104,,C0603,100nF,smt
114.89,-86.67,-90.0,top,C7,CL21A106KAYNNNE,,C0805,10uF,smt
125.6,-88.36,90.0,top,C8,GJM0335C1E1R5WB01D,,C0201,1.5pF,smt
122.01,-82.76,90.0,top,C9,GCM155R71H103KA55D,,C0402,10nF,smt
108.22,-98.76,0.0,top,CN1,SM04B-SRSS-TB(LF)(SN),,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,SM04B-SRSS-TB,smt
123.38,-77.92,90.0,top,D1,SS14,,SMA_L4.3-W2.6-LS5.2-RD,SS14_C83852,smt
119.91,-77.07,-90.0,top,D2,SS14,,SMA_L4.3-W2.6-LS5.2-RD,SS14_C83852,smt
121.18,-99.525,0.0,top,J2,,,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,TC2030,tht
